Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;03:00;8
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;04:00;10,3
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;05:00;11,3
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;06:00;12,2
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;07:00;12,8
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;08:00;13,4
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;09:00;14
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;10:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;11:00;15,1
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;12:00;15,4
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;13:00;16,4
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;14:00;16,5
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;15:00;16,7
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;16:00;16,1
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;17:00;15,6
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;18:00;15
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;19:00;14,9
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;20:00;14,5
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;21:00;14,3
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;22:00;13
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;23:00;13
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;00:00;13,2
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;01:00;13,9
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;02:00;13,3
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;03:00;13,3
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;04:00;13,2
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;05:00;12,8
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;06:00;12,6
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;07:00;12,6
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;08:00;13,1
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;09:00;13,6
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;10:00;14,4
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;11:00;14,8
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;12:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;13:00;13
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;14:00;14
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;15:00;11,3
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;16:00;11,6
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;17:00;10,6
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;18:00;10,5
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;19:00;7,5
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;20:00;7,7
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;21:00;9,5
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;22:00;10,3
Mazara del Vallo;Temperatura aria media oraria (°C);10/01/2023;23:00;10,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;00:00;9,6
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;01:00;8,9
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;02:00;8,7
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;03:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;04:00;8,2
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;05:00;8,2
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;06:00;8,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;07:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;08:00;10,3
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;09:00;13,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;10:00;14,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;11:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;12:00;15,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;13:00;15,5
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;14:00;15,6
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;15:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;16:00;13,2
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;17:00;9,8
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;18:00;7,9
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;19:00;6,6
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;20:00;5,4
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;21:00;4,8
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;22:00;4,2
Mazara del Vallo;Temperatura aria media oraria (°C);11/01/2023;23:00;3,8
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;00:00;3,8
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;01:00;4,5
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;02:00;6
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;03:00;6,3
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;04:00;6,2
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;05:00;6,6
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;06:00;7,5
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;07:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;08:00;10,1
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;09:00;13,9
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;10:00;14,9
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;11:00;15,4
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;12:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;13:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;14:00;15,6
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;15:00;15,3
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;16:00;14,1
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;17:00;12,6
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;18:00;12
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;19:00;12,5
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;20:00;13,1
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;21:00;13,2
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;22:00;12,8
Mazara del Vallo;Temperatura aria media oraria (°C);12/01/2023;23:00;11,5
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;00:00;9,4
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;01:00;8,5
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;02:00;7,8
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;03:00;7,1
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;04:00;6,2
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;05:00;5,4
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;06:00;4,8
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;07:00;4,9
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;08:00;7
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;09:00;12,6
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;10:00;15,6
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;11:00;15,4
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;12:00;15,5
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;13:00;16,5
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;14:00;15,6
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;15:00;15,5
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;16:00;14
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;17:00;11,4
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;18:00;9,8
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;19:00;9,2
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;20:00;8
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;21:00;7,7
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;22:00;7,4
Mazara del Vallo;Temperatura aria media oraria (°C);13/01/2023;23:00;7,3
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;00:00;7,1
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;01:00;6,1
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;02:00;5,5
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;03:00;4,9
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;04:00;5
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;05:00;4,8
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;06:00;6
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;07:00;5,7
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;08:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;09:00;12,6
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;10:00;15
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;11:00;16,2
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;12:00;16,4
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;13:00;16,3
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;14:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;15:00;15,3
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;16:00;14,2
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;17:00;11,8
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;18:00;10,4
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;19:00;9,8
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;20:00;9,4
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;21:00;8,5
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;22:00;8,6
Mazara del Vallo;Temperatura aria media oraria (°C);14/01/2023;23:00;8
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;00:00;8,5
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;01:00;7,2
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;02:00;6,4
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;03:00;5,3
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;04:00;4,6
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;05:00;4,4
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;06:00;3,1
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;07:00;2,6
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;08:00;5
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;09:00;9,1
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;10:00;13,5
Mazara del Vallo;Temperatura aria media oraria (°C);15/01/2023;11:00;15,9
